Chi-Square,Bhattacharyya
3.058852851390838623e-01,3.115644553429197661e-01
2.930543422698974609e-01,2.999195234344640970e-01
2.852917611598968506e-01,3.048847506044145006e-01
2.557565867900848389e-01,2.942848854317779428e-01
2.684315741062164307e-01,2.914180905910176422e-01
2.908385694026947021e-01,3.319675941808441499e-01
4.029206037521362305e-01,3.867932250821786155e-01
4.119533002376556396e-01,3.897274403015302258e-01
3.851299285888671875e-01,3.821495877218231141e-01
6.284814476966857910e-01,4.916058201223945656e-01
4.796923100948333740e-01,4.094601355400090958e-01
5.159558653831481934e-01,4.239661795722607374e-01
4.977174103260040283e-01,4.431311322756366633e-01
6.059747338294982910e-01,4.941409260855979535e-01
6.943367123603820801e-01,5.401371497038786051e-01
4.456368982791900635e-01,3.952589277461823758e-01
3.788188695907592773e-01,3.668558176351763844e-01
4.046908915042877197e-01,3.791298692962088990e-01
2.877682149410247803e-01,3.037400222547133599e-01
2.884983122348785400e-01,3.000099861741192808e-01
7.362098097801208496e-01,5.295287351459192493e-01
5.164420604705810547e-01,4.184022979687789245e-01
1.187670230865478516e+00,7.151268543933708699e-01
1.132473826408386230e+00,6.931262619036235861e-01
1.047197341918945312e+00,6.618964683856705111e-01
9.987162947654724121e-01,6.363094717678509094e-01
7.759550213813781738e-01,5.477174252420148326e-01
6.454318761825561523e-01,4.895265706397333161e-01
7.034449577331542969e-01,5.177370940369415697e-01
1.271512508392333984e+00,7.449740304682251901e-01
1.006123423576354980e+00,6.351898031622940088e-01
1.128725171089172363e+00,6.970366088367242474e-01
8.071705698966979980e-01,5.560292049374061518e-01
8.235694766044616699e-01,6.022592352959096340e-01
5.647019147872924805e-01,4.822835073528454752e-01
8.027832508087158203e-01,5.658793985986493302e-01
7.558714747428894043e-01,5.564280357575751568e-01
6.138107776641845703e-01,4.662094635864078018e-01
6.106743812561035156e-01,4.601681036856578033e-01
4.909455776214599609e-01,4.436388587490058821e-01
5.287673473358154297e-01,4.611414866611589503e-01
2.436779737472534180e-01,2.758272456007710982e-01
3.231915831565856934e-01,3.204327300364781528e-01
5.310063958168029785e-01,4.328917519061846186e-01
5.871927142143249512e-01,4.627059159935210109e-01
5.398207306861877441e-01,4.392638545878296275e-01
4.361085593700408936e-01,3.746180659494323106e-01
5.086162686347961426e-01,4.643481052355452054e-01
5.712523460388183594e-01,4.779114450788466972e-01
6.216391324996948242e-01,4.705588611959588552e-01
7.042714953422546387e-01,4.957186986993264988e-01
3.281221091747283936e-01,3.251551229859446224e-01
5.501521229743957520e-01,4.427132504256878209e-01
5.595661997795104980e-01,4.408859348971143621e-01
4.205727875232696533e-01,3.765987214421674945e-01
2.939097881317138672e-01,3.071654052267361323e-01
4.067291021347045898e-01,3.808396113441959163e-01
2.940427362918853760e-01,2.946556268406756440e-01
2.509976327419281006e-01,2.717834462778679350e-01
2.855185866355895996e-01,2.867435492585049261e-01
5.382370352745056152e-01,4.233303744424974924e-01
4.347865581512451172e-01,3.767343032287990834e-01
5.763766169548034668e-01,4.429642926370631617e-01
3.706130981445312500e-01,3.363906078948795675e-01
2.179846316576004028e-01,2.522641816967952644e-01
3.006303608417510986e-01,3.177977397346562483e-01
5.741774439811706543e-01,4.780718220617954373e-01
4.752981364727020264e-01,4.274102483865414581e-01
4.698140323162078857e-01,4.020919189165446661e-01
2.100953459739685059e-01,2.661344471902327702e-01
1.942900866270065308e-01,2.429317673064176619e-01
